风险矩阵,澳门,北京,成都,大连,福州,广州,哈尔滨,杭州,济南,昆明,南京,南宁,青岛,厦门,上海,深圳,太原,天津,威海,武汉,香港,烟台,延吉,郑州,重庆,贵阳,呼和浩特,兰州,南昌,乌鲁木齐,西安,常州,沈阳,长沙,长春,海口,桂林,南通,宁波,温州,义乌,无锡,黄山,德宏,合肥,揭阳,泉州,张家界,中国澳门,中国香港,牡丹江,石家庄,西双版纳
2022-05-29,0,0,0.3189480644331936,0,0,1.6075831537069505,0,0,0.10552874987849604,0,0,0,0.5671185956488137,0.7019667816960632,0.9032312790045669,0,0,0.3997989066591772,0,0.2603092810589768,2.4383942208926928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-05,0,0,1.142030703629273,0,0.6504069111298015,1.5701640061696358,0,0,0.5225426394978508,0.5247150883203349,0,0,0,0.8516340045962749,1.3127572234272769,1.422334705433776,1.1060710737035826,0.4541565689817699,0,0,2.375864405450261,0,0,0,0.48031073768833527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-12,0,1.7818513910661937,0.9611124761463653,0,0.937681740429331,1.3979251981799015,0,1.144608569283501,0.8747251576092133,0.7465638379366911,0,0,0,0.950873866852422,1.8490649561666836,0.5933306952759889,0,0.8364915043232315,0,0,2.9844932915437363,0,0,0,0.8155338326753624,0,0,0,0,0,2.646539839790807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-19,0,1.1983467702006054,1.2235306035996811,0,0.7671841689695008,1.5099412455128551,0,0.9804381174082226,1.137143285062529,0.5247150883203349,0,0,0.3674384592487194,1.235754651636319,2.1004364942323255,0.844596392278279,0,0,0,0.3572192940670333,3.134439237678161,0,0,0,1.08557135699887,0,0,0,0,0,2.6307119670685557,0,0.8416319133145399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,0.5440278337598202,1.445238218319886,1.1748109204245833,0,1.3005929702749575,1.7149357082983374,0,1.1707916863089416,1.3425918649797048,0.21442473153714947,1.495876618022603,0,1.5140980976563143,1.1336529293401982,2.029997459595621,0,0,0.5714840043480486,0,0.4582346964804922,3.25771515643512,0.1485587947210841,0,0,1.5690128127111966,0,0,0,0.11266406960083296,0,2.6683676596278283,0,1.4447345378481689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,0.367936574704139,1.8744813734592338,1.2877432034990859,0,1.5987849006100265,2.0767377532699003,0,0.34347399620058794,1.4281633826124642,0,1.4979158292765014,0,0.1655366366736893,1.5866396345941574,2.7027977988856393,1.3870007162601465,0,0.534835267285875,0,0.1132741250892168,3.4200907302178165,0.2582640059695699,0,0,1.869978570465717,0,0,0,0.08347568047335067,0,0,0,1.3979214237695443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,0.6616673316266207,0,1.9096504203317277,0,1.681361479734831,2.1394738253657555,0,1.8019159222100154,0,0,1.4612250623973237,0,1.618681682767956,2.066362061723382,2.4265440193701124,1.598571987000392,0,0.5154725770000183,0,0,3.4822632846257235,0,0,0,1.282965788050996,0,0,0,0.27998140434900903,0,0,0,2.1149244596187113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,1.3606373359626396,0,1.774302223794086,0,2.0242130934135374,2.2491253301954415,0,1.700225072177477,0,0,1.7870787214428077,0,1.6131941343555283,2.3441663832105366,2.303570030769572,2.0632971295737934,0,1.5921414607884963,0,0,3.6694398091711937,0,0,0.8374654099227332,1.0382339791442092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,1.4398185820102645,0.1242211480346025,1.5417633951784286,0,2.450324596192442,2.6843295832839136,0,1.2446549324671694,0,0,1.4119975176285566,0,1.6161476431488004,2.640203089582549,2.684626047351495,1.238342267204676,0,1.4305335236353456,0,0,3.7936348764696564,0,0,0.9552733092113951,1.117415225191834,0,0,0,0,0,0,0,1.6011962862156321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,1.3606373359626396,2.12455456478161,1.528106609464864,0.7303721044126749,2.6525858412587886,2.5727349175071166,0.07588487741839596,1.7470172675363387,0.06893601746306816,0.540279817539249,0,0,1.7784281004035063,2.664376494486098,2.7275739182797603,1.3063732908687937,0,1.6118384874656762,0,0,3.909145035823756,0,0,0.8890019792210082,1.0382339791442092,0.07588487741839596,0,0,0,0,1.5328385060778467,0,0,0,1.3525929611368808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-07,1.5067653716408775,2.2673591904711117,1.5207005059586627,0.939773962497682,2.898478103583251,2.735516654393965,0.25197613647407724,1.606876160504962,0,0.1113837469940313,1.4549524819983595,0,1.5045799641234547,2.829099041724764,3.2329290804126005,1.5026708951971786,0,0.8994174924390778,0,0,4.0521486880822035,0,0,1.0277207352886697,1.2112500500937586,0,0,0,0,0,0.4359027398625682,0,0,0,1.2055960918456898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
