,省,市,市（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
84064,安徽,安庆,340800,2022.12.02,0,0,0,12,0,0,87,87,
85109,安徽,宿州,341300,2022.12.02,0,0,0,10,0,0,423,423,
86154,安徽,蚌埠,340300,2022.12.02,4,0,0,34,0,0,221,212,5
87199,安徽,六安,341500,2022.12.02,0,0,0,16,0,0,85,85,
88244,安徽,淮南,340400,2022.12.02,0,0,0,8,0,0,37,37,
89289,安徽,阜阳,341200,2022.12.02,0,0,0,28,0,0,168,168,
90334,安徽,合肥,340100,2022.12.02,16,0,1,37,0,0,222,205,1
91381,安徽,马鞍山,340500,2022.12.02,0,0,0,7,0,0,41,41,
92426,安徽,芜湖,340200,2022.12.02,3,0,0,22,0,0,43,40,
93471,安徽,铜陵,340700,2022.12.02,9,0,1,9,0,0,42,33,
94516,安徽,亳州,341600,2022.12.02,0,0,0,20,0,0,108,108,
95561,安徽,黄山,341000,2022.12.02,0,0,0,8,0,0,9,9,
96606,安徽,滁州,341100,2022.12.02,0,0,0,4,0,0,15,15,
97651,安徽,宣城,341800,2022.12.02,28,0,6,16,0,0,37,9,
98696,安徽,淮北,340600,2022.12.02,1,0,0,6,0,0,49,48,
99741,安徽,池州,341700,2022.12.02,3,0,0,75,0,0,24,21,
100785,四川,成都,510100,2022.12.02,2479,0,136,320,0,0,6127,3644,4
101829,四川,内江,511000,2022.12.02,58,0,2,18,0,0,375,317,
102874,四川,宜宾,511500,2022.12.02,180,0,0,42,0,0,306,126,
103918,四川,绵阳,510700,2022.12.02,166,0,0,23,0,0,229,63,
104963,四川,自贡,510300,2022.12.02,9,0,0,15,0,0,28,19,
106008,四川,攀枝花,510400,2022.12.02,3,0,0,6,0,0,21,18,
107053,四川,泸州,510500,2022.12.02,64,0,7,6,0,0,127,63,
108098,四川,德阳,510600,2022.12.02,213,0,1,17,0,0,263,50,
109143,四川,广元,510800,2022.12.02,28,0,0,19,0,0,48,20,
110187,四川,遂宁,510900,2022.12.02,135,0,0,7,0,0,171,36,
111232,四川,乐山,511100,2022.12.02,66,0,2,7,0,0,81,15,
112277,四川,南充,511300,2022.12.02,5,0,2,15,0,0,81,76,
113322,四川,广安,511600,2022.12.02,32,0,5,6,0,0,290,258,
114367,四川,达州,511700,2022.12.02,0,0,0,5,0,0,49,49,
115412,四川,巴中,511900,2022.12.02,68,0,0,20,0,0,112,44,
116457,四川,雅安,511800,2022.12.02,10,0,0,8,0,0,18,8,
117502,四川,眉山,511400,2022.12.02,57,0,1,53,0,0,94,37,
118547,四川,资阳,512000,2022.12.02,5,0,0,9,0,0,48,43,
119591,四川,阿坝州,,2022.12.02,143,0,2,99,0,0,213,70,
120636,四川,甘孜州,,2022.12.02,8,0,4,15,0,0,102,94,
121681,四川,凉山州,,2022.12.02,88,0,1,4,0,0,118,30,
122726,山东,菏泽,371700,2022.12.02,1,0,0,42,0,0,42,41,
123773,山东,济南,370100,2022.12.02,375,0,15,158,0,0,577,202,
124820,山东,青岛,370200,2022.12.02,111,0,8,37,0,0,1344,1232,1
125867,山东,滨州,371600,2022.12.02,17,0,2,29,0,0,239,222,
126914,山东,德州,371400,2022.12.02,0,0,0,14,0,0,119,117,2
127961,山东,淄博,370300,2022.12.02,18,0,0,54,0,0,95,76,1
129007,山东,烟台,370600,2022.12.02,1,0,1,57,0,0,100,99,
130054,山东,威海,371000,2022.12.02,21,0,3,55,0,0,132,110,1
131101,山东,聊城,371500,2022.12.02,57,0,2,25,0,0,102,45,
132147,山东,枣庄,370400,2022.12.02,1,0,1,16,0,0,66,65,
133193,山东,潍坊,370700,2022.12.02,0,0,0,43,0,0,53,53,
134239,山东,济宁,370800,2022.12.02,4,0,0,51,0,0,305,301,
135286,山东,泰安,370900,2022.12.02,88,0,0,48,0,0,141,51,2
136332,山东,日照,371100,2022.12.02,3,0,2,45,0,0,40,37,
137379,山东,临沂,371300,2022.12.02,40,0,3,37,0,0,131,91,
138426,山东,东营,370500,2022.12.02,2,0,0,14,0,0,5,3,
138838,吉林,吉林,220200,2022.12.02,0,0,0,9,0,0,14097,14094,3
139886,吉林,长春,220100,2022.12.02,3,0,0,113,0,0,25191,25188,
140935,吉林,延边州,,2022.12.02,11,0,0,26,0,0,206,195,
141984,吉林,四平,220300,2022.12.02,20,0,0,32,0,0,264,243,1
143033,吉林,白城,220800,2022.12.02,2,0,0,35,0,0,147,145,
144069,吉林,辽源,220400,2022.12.02,0,0,0,39,0,0,9,9,
145107,吉林,松原,220700,2022.12.02,57,0,5,139,0,0,84,27,
146155,吉林,通化,220500,2022.12.02,0,0,0,8,0,0,314,313,1
147204,吉林,白山,220600,2022.12.02,1,0,1,12,0,0,25,24,
148253,福建,莆田,350300,2022.12.02,15,0,2,21,0,0,352,337,
149300,福建,厦门,350200,2022.12.02,229,0,29,6,0,0,688,459,
150348,福建,漳州,350600,2022.12.02,93,0,19,22,0,0,144,51,
151397,福建,泉州,350500,2022.12.02,92,0,5,32,0,0,1330,1238,
152446,福建,福州,350100,2022.12.02,33,0,1,47,0,0,446,412,1
153497,福建,三明,350400,2022.12.02,69,0,11,2,0,0,94,25,
154546,福建,南平,350700,2022.12.02,21,0,5,19,0,0,78,57,
155595,福建,龙岩,350800,2022.12.02,59,0,6,1,0,0,67,8,
156644,福建,宁德,350900,2022.12.02,5,0,0,35,0,0,98,93,
157693,江西,宜春,360900,2022.12.02,0,0,0,2,0,0,109,109,
158737,江西,鹰潭,360600,2022.12.02,0,0,0,0,0,0,48,48,
159782,江西,上饶,361100,2022.12.02,0,0,0,4,0,0,328,328,
160826,江西,南昌,360100,2022.12.02,0,0,0,43,0,0,485,485,
161871,江西,赣州,360700,2022.12.02,0,0,0,0,0,0,76,75,1
162916,江西,九江,360400,2022.12.02,9,0,0,6,0,0,139,130,
163961,江西,抚州,361000,2022.12.02,5,0,0,9,0,0,81,76,
165006,江西,新余,360500,2022.12.02,0,0,0,21,0,0,129,129,
166051,江西,吉安,360800,2022.12.02,0,0,0,10,0,0,44,44,
167096,江西,景德镇,360200,2022.12.02,3,0,0,8,0,0,9,6,
168141,江西,萍乡,360300,2022.12.02,0,0,0,3,0,0,39,39,
169186,江苏,扬州,321000,2022.12.02,2,0,0,60,0,0,596,594,
170225,江苏,南京,320100,2022.12.02,216,0,11,83,0,0,768,552,
171265,江苏,无锡,320200,2022.12.02,91,0,6,24,0,0,194,103,
172304,江苏,徐州,320300,2022.12.02,18,0,1,29,0,0,178,160,
173343,江苏,常州,320400,2022.12.02,3,0,0,35,0,0,87,84,
174382,江苏,苏州,320500,2022.12.02,26,0,5,70,0,0,254,228,
175423,江苏,南通,320600,2022.12.02,18,0,0,37,0,0,59,41,
176462,江苏,连云港,320700,2022.12.02,181,0,2,37,0,0,386,205,
