Entity,Year,Tree density (trees per capita)
Timor,2014,422.4378475
Togo,2014,146.2981174
Tokelau,2014,13.04351524
Tonga,2014,52.68249797
Trinidad and Tobago,2014,154.5451324
Tunisia,2014,13.7609021
Turkey,2014,114.6986773
Turkmenistan,2014,1.360200378
Turks and Caicos Islands,2014,115.4578492
Tuvalu,2014,3.859834243
Uganda,2014,63.45342861
Ukraine,2014,154.8327508
United Arab Emirates,2014,0.002067541
United Kingdom,2014,46.56933899
United States,2014,715.9756952
United States Virgin Islands,2014,44.73022943
Uruguay,2014,158.9498118
Uzbekistan,2014,3.722949532
Vanuatu,2014,2215.886985
Venezuela,2014,1175.905364
Vietnam,2014,103.0901081
Wallis and Futuna,2014,106.2116129
Western Sahara,2014,0.033892357
World,2014,421.6097734
World (mean),2014,421.6097734
World (median),2014,163.5473123
Yemen,2014,0.622847789
Zambia,2014,1838.235526
Zimbabwe,2014,387.1590896
