年份,城市,城镇常住人口(市辖区),建成区面积（平方公里）市辖区,居住用地面积,公园绿地面积,建成区绿化覆盖率(%),工业颗粒物排放量(吨),工业二氧化硫排放量(吨),工业氮氧化物排放量(吨),细颗粒物年平均浓度(微克/立方米),人均地区生产总值(元)全市,医院数(个)全市,医院数(个)市辖区,医院床位数(张)全市,医院床位数(张)市辖区,执业(助理)医师数(人)全市,执业(助理)医师数(人)市辖区,职工基本医疗保险参保人数全市,境内公路总里程(公里)全市,年末实有公共汽（电）车营运车辆数（辆）,全年公共汽(电)车客运总量(万人次),年末实有巡游出租汽车营运车数（辆）,公路客运量(万人),高中及以上比例(%),年龄0到19比例(%),年龄20到39比例(%),年龄60以上比例(%),同性恋人数,城市降水量数据,城市年度日照时数,城市逐年气温,covid-19 累计确诊,covid-19 累计治愈,covid-19 累计死亡
2021,南昌,370,297,116,3814,,3264,5081,8027,33,92697,136,112,38797,34134,17857,14786,1381155,11890,4381,21574,5649,1892,34.66800435,27.92958982,35.372011,11.62723502,4543,2168.373666,1436.711043,18.56177013,485,485,0
2021,济南,644,794,225,7833,40.85,13414,11356,25382,47,110199,284,275,58790,55104,40199,37994,3135220,18117,7973,52567,10453,1209,36.63765574,19.64160761,36.33391273,13.86849455,7388,786.7195718,2633.789498,13.29713408,642,290,1
2021,青岛,619,758,163,10508,41,5858,3317,9453,31,123828,460,324,62450,46151,39708,31758,4105885,15294,8553,65014,10877,1844,32.16901908,19.15952187,34.44331652,14.74746035,5230,949.043276,2622.782993,13.67106971,1360,1295,1
2021,烟台,215,393,114,4224,39.52,15386,17295,15921,32,110058,186,114,33471,18398,21640,11298,2477693,19762,2429,19396,2981,1999,27.77433834,17.08193878,30.45930643,17.00814643,2996,777.3329333,2467.01574,13.43194948,103,99,0
2021,威海,134,197,59,2640,45.8,1262,3845,5602,24,103829,69,42,15563,10842,10205,7032,1042553,7315,1411,10278,1895,562,28.3623868,16.4825221,30.57757657,17.77482012,1319,791.3970161,2464.115492,13.02347826,145,111,1
2021,郑州,645,641,157,10554,41.5,7690,5465,12329,51,96134,282,197,91736,70330,45211,35586,2542214,13104,6316,55480,10908,2851,38.28308715,23.98674686,39.40709317,10.67191958,9487,685.8393952,1772.171125,15.88329915,5221,2697,6
2021,武汉,1039,885,,12548,42.07,6357,9600,22464,37,131441,362,362,81228,81228,41888,41888,5049700,16509,9588,58586,18078,803,46.97285381,18.89012475,38.48732416,12.68227688,11909,1944.824298,1676.392025,17.20684225,50741,46611,3869
2021,长沙,564,616,198,5427,39.46,4021,1845,4971,41,123297,241,185,67213,51716,32785,23521,3055782,16255,11858,41359,8080,,36.78566478,19.84397848,36.69571956,13.64720282,9548,1749.884604,1394.617374,17.87129959,415,273,2
2021,张家界,37,39,16,259,37,2566,506,915,27,36708,32,14,7069,3019,4009,1792,142663,9206,423,6003,865,2746,19.23229661,23.6604023,29.442634,16.72118305,-1,1956.589098,1098.954474,16.67214174,148,77,0
2021,广州,1615,1350,223,32358,45.52,6077,2005,10605,23,135047,289,289,93067,93067,62369,62369,8441958,9045,15590,136066,21492,18054,42.79918324,19.10573087,45.9069664,9.740104431,27781,1917.478017,1695.411812,22.76241855,33821,16120,1
2021,深圳,1760,,,20160,43.38,1856,777,4104,19,159309,145,145,57642,57642,42576,42576,13029297,716,38362,138039,,5105,41.5466278,17.3296966,60.937187,2.952411192,19282,1642.38088,1877.231991,23.59324954,5885,4694,3
2021,揭阳,124,155,,1417,44.16,1028,3081,3860,28,37495,71,34,16443,6995,10757,4309,228246,7611,545,1369,102,1381,13.22483191,37.45953459,29.41660307,10.31410962,1440,1145.098882,2097.276832,22.83680655,18,11,0
